epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,1.132482,1.432526,0.501171,0.375328,0.246627,0.270549,0.517056
2,1.05703,1.340331,0.504904,0.406141,0.262789,0.271766,0.529432
3,0.985085,1.277253,0.531649,0.410964,0.254857,0.276188,0.54639
4,0.946215,1.206632,0.505381,0.408736,0.266056,0.313769,0.527289
5,0.888733,1.155756,0.523897,0.42891,0.27675,0.306611,0.564691
6,0.833353,1.10062,0.56119,0.460774,0.328016,0.370452,0.606168
7,0.772286,1.040457,0.568371,0.470592,0.328605,0.360587,0.60345
8,0.742874,0.986675,0.574667,0.47125,0.341357,0.362013,0.623188
9,0.702827,0.95897,0.566795,0.488331,0.350878,0.384536,0.619526
10,0.66629,0.925298,0.589253,0.495314,0.365604,0.387073,0.629064
11,0.640065,0.877478,0.586729,0.49415,0.374389,0.402909,0.642876
12,0.606417,0.828179,0.591846,0.524605,0.399735,0.42658,0.644167
13,0.580509,0.793585,0.608507,0.522473,0.400369,0.442783,0.647529
14,0.555446,0.742754,0.618149,0.526631,0.426745,0.448527,0.66095
15,0.531126,0.704171,0.622641,0.544015,0.429352,0.478341,0.670725
16,0.49559,0.683619,0.641238,0.557596,0.449319,0.496586,0.673986
17,0.490569,0.648088,0.637856,0.579027,0.45805,0.516113,0.689106
18,0.469118,0.632818,0.653239,0.590543,0.485199,0.525882,0.696653
19,0.448542,0.613152,0.661958,0.603975,0.508499,0.550302,0.714544
20,0.455848,0.578462,0.674889,0.624628,0.513607,0.540314,0.720103
21,0.443399,0.570414,0.686364,0.636124,0.528596,0.570386,0.728275
22,0.429071,0.57899,0.687896,0.649081,0.537507,0.582239,0.738615
23,0.41048,0.534639,0.707195,0.662392,0.558966,0.60637,0.749423
24,0.408659,0.511196,0.711719,0.675927,0.563711,0.61568,0.76022
25,0.390164,0.50332,0.708016,0.667703,0.582569,0.633367,0.761002
26,0.383458,0.516038,0.71514,0.690932,0.604077,0.663961,0.768937
27,0.366755,0.506962,0.733815,0.687786,0.624535,0.659177,0.786943
28,0.370762,0.496879,0.739023,0.71291,0.64712,0.675574,0.786913
29,0.362205,0.505289,0.745653,0.721023,0.633769,0.680689,0.788881
30,0.346795,0.451738,0.751506,0.736246,0.658663,0.692885,0.804135
31,0.350701,0.482262,0.757921,0.744213,0.659665,0.701008,0.810089
32,0.345839,0.4905,0.766666,0.743383,0.665663,0.712576,0.805926
33,0.355108,0.452985,0.758275,0.743941,0.677992,0.725647,0.819345
34,0.344728,0.457177,0.76145,0.75606,0.682763,0.735996,0.826325
35,0.334837,0.448336,0.765075,0.75324,0.6899,0.730369,0.828744
36,0.333321,0.442657,0.776167,0.761002,0.69234,0.737701,0.833757
37,0.328906,0.445843,0.78438,0.771626,0.690813,0.727489,0.827408
38,0.324443,0.463575,0.776509,0.763613,0.694831,0.740309,0.838836
39,0.315662,0.465471,0.766013,0.776162,0.71522,0.752373,0.838591
40,0.320134,0.436634,0.772492,0.777641,0.712642,0.754761,0.840245
41,0.313812,0.461011,0.779203,0.767996,0.714043,0.751907,0.849004
42,0.308323,0.436282,0.782156,0.783729,0.721716,0.759891,0.853957
43,0.31931,0.454806,0.784191,0.783362,0.730353,0.758593,0.85729
44,0.3169,0.430733,0.787867,0.780478,0.72859,0.766324,0.856616
45,0.299807,0.431683,0.786634,0.775488,0.724947,0.760217,0.851233
46,0.310501,0.432907,0.795558,0.775865,0.740622,0.756146,0.854751
47,0.317379,0.465218,0.785865,0.779116,0.745056,0.76313,0.857897
48,0.316765,0.435965,0.785322,0.78771,0.738934,0.736715,0.85583
49,0.315547,0.416056,0.79387,0.777632,0.743885,0.765438,0.856794
50,0.30755,0.43507,0.782218,0.78828,0.747153,0.732349,0.860938
