epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,1.449994,1.747136,0.48821,0.373232,0.245091,0.254842,0.542601
2,1.346705,1.643046,0.51019,0.388912,0.202658,0.257393,0.551252
3,1.274202,1.520556,0.488665,0.387509,0.236665,0.276745,0.516822
4,1.19767,1.447469,0.502304,0.378599,0.225291,0.288627,0.543152
5,1.105786,1.369565,0.509074,0.400893,0.267656,0.300549,0.536483
6,1.045628,1.30159,0.550447,0.452892,0.292996,0.355423,0.585849
7,0.996783,1.24866,0.550023,0.456461,0.30653,0.349397,0.586818
8,0.939634,1.21859,0.558132,0.457256,0.327289,0.365054,0.590157
9,0.892572,1.141535,0.570063,0.466248,0.331743,0.361887,0.597293
10,0.841652,1.114387,0.559926,0.465179,0.350256,0.366201,0.605759
11,0.813166,1.03153,0.578575,0.48184,0.357091,0.378905,0.617953
12,0.77507,0.995386,0.583467,0.490702,0.363165,0.39253,0.613704
13,0.735858,0.949924,0.584916,0.503908,0.384462,0.428817,0.627025
14,0.712403,0.906991,0.586578,0.508349,0.387421,0.416987,0.63162
15,0.679286,0.86568,0.602744,0.526277,0.402958,0.444423,0.639655
16,0.643855,0.829624,0.606417,0.541047,0.407898,0.44372,0.653497
17,0.62909,0.784192,0.618433,0.545986,0.42376,0.473361,0.658843
18,0.597995,0.755465,0.624699,0.558642,0.431621,0.483168,0.670321
19,0.591577,0.747334,0.64172,0.567752,0.457143,0.49304,0.67081
20,0.566971,0.713392,0.638151,0.578532,0.454826,0.508309,0.675813
21,0.54965,0.681138,0.640784,0.584292,0.482053,0.517183,0.685577
22,0.531163,0.665389,0.655132,0.602412,0.487882,0.540065,0.695156
23,0.531261,0.65206,0.66224,0.609679,0.510165,0.545619,0.701976
24,0.508934,0.65457,0.67562,0.635221,0.519183,0.551659,0.702812
25,0.495639,0.637097,0.678661,0.640714,0.538435,0.563048,0.715056
26,0.485858,0.631619,0.68159,0.640821,0.54159,0.586319,0.72201
27,0.482803,0.607208,0.693622,0.640599,0.535427,0.608445,0.738956
28,0.473005,0.604205,0.682688,0.645517,0.556069,0.606044,0.741489
29,0.465503,0.600658,0.690548,0.668919,0.557293,0.612434,0.733635
30,0.458479,0.581089,0.692989,0.668447,0.570549,0.623788,0.74124
31,0.464271,0.582666,0.699981,0.675643,0.593087,0.639569,0.740128
32,0.439971,0.562294,0.697461,0.664703,0.594109,0.636944,0.748499
33,0.433778,0.559542,0.712584,0.688498,0.591208,0.637486,0.756693
34,0.426652,0.553535,0.710169,0.689166,0.595095,0.655448,0.764486
35,0.432427,0.538491,0.705107,0.681527,0.608244,0.654403,0.758409
36,0.431997,0.553873,0.709996,0.689347,0.604356,0.667826,0.76169
37,0.419286,0.538006,0.719879,0.697491,0.612914,0.660114,0.757172
38,0.410626,0.539785,0.724712,0.698486,0.624183,0.651512,0.769094
39,0.407609,0.54175,0.733148,0.69822,0.634036,0.653143,0.766938
40,0.415374,0.538007,0.739955,0.701526,0.633506,0.680998,0.771444
41,0.413436,0.537593,0.726103,0.702166,0.615687,0.683797,0.771527
42,0.409618,0.525653,0.718683,0.706576,0.637122,0.669728,0.776854
43,0.398748,0.519225,0.712705,0.717382,0.63791,0.669695,0.770277
44,0.403233,0.52104,0.72787,0.689452,0.642573,0.686656,0.772931
45,0.400598,0.499643,0.722056,0.707226,0.653197,0.66636,0.791318
46,0.399686,0.500605,0.725025,0.711074,0.628461,0.66926,0.775923
47,0.402885,0.500345,0.724353,0.712693,0.640626,0.683152,0.777733
48,0.39685,0.502652,0.727624,0.708546,0.650531,0.67528,0.792613
49,0.398879,0.517958,0.73525,0.699151,0.636131,0.679289,0.79845
50,0.393338,0.500965,0.730132,0.714661,0.659251,0.6786,0.779514
