epoch,train_loss,val_loss,accuracy,precision,recall,f1,roc_auc
1,1.658359,1.95987,0.502903,0.388212,0.209641,0.255767,0.534597
2,1.533985,1.851793,0.509187,0.379019,0.238372,0.298054,0.543343
3,1.424213,1.752764,0.474175,0.394364,0.247677,0.295446,0.551956
4,1.36186,1.61729,0.518811,0.37051,0.228698,0.297791,0.544593
5,1.266436,1.552004,0.52063,0.398678,0.227572,0.283023,0.530451
6,1.197001,1.459279,0.547878,0.45257,0.295568,0.329681,0.565505
7,1.138595,1.411435,0.558526,0.464555,0.301419,0.331543,0.575369
8,1.056457,1.344889,0.554198,0.449028,0.313706,0.343075,0.583646
9,1.003176,1.268499,0.561201,0.444279,0.309259,0.358721,0.584336
10,0.949749,1.245824,0.56179,0.462803,0.318731,0.350537,0.597621
11,0.909119,1.170334,0.565865,0.470322,0.327782,0.378494,0.608762
12,0.875635,1.11335,0.567297,0.478868,0.346776,0.378718,0.598767
13,0.837594,1.050455,0.579952,0.480549,0.362164,0.403604,0.605871
14,0.800551,1.002834,0.577935,0.501498,0.358757,0.385122,0.616706
15,0.756226,0.968821,0.592949,0.510228,0.370018,0.41037,0.629169
16,0.720423,0.920553,0.601569,0.505111,0.386612,0.414931,0.621566
17,0.71068,0.891556,0.603492,0.53053,0.394038,0.434543,0.634724
18,0.682473,0.861412,0.605884,0.550015,0.414218,0.456096,0.648418
19,0.666901,0.846041,0.616643,0.546228,0.402719,0.465061,0.637902
20,0.648326,0.802083,0.618332,0.552231,0.424475,0.476881,0.645797
21,0.625729,0.76682,0.631945,0.563128,0.436132,0.489884,0.655944
22,0.613295,0.777688,0.621317,0.577803,0.436159,0.504797,0.661384
23,0.594045,0.743001,0.636042,0.569788,0.456719,0.506039,0.673524
24,0.582137,0.744031,0.631593,0.591897,0.467485,0.53134,0.676326
25,0.560408,0.720369,0.63975,0.595903,0.482614,0.541263,0.671959
26,0.552476,0.700615,0.661761,0.619517,0.501591,0.548581,0.688015
27,0.544501,0.693985,0.663467,0.611933,0.500822,0.558995,0.687562
28,0.539245,0.70191,0.65795,0.631635,0.503645,0.565096,0.700963
29,0.52161,0.693112,0.657077,0.617584,0.518596,0.587299,0.696057
30,0.520086,0.659615,0.651791,0.635142,0.533955,0.576399,0.699948
31,0.50702,0.652125,0.669477,0.638091,0.526228,0.580827,0.709247
32,0.501337,0.65529,0.69011,0.633933,0.533023,0.582737,0.713676
33,0.501997,0.625087,0.680754,0.645415,0.549414,0.585475,0.715257
34,0.476057,0.632718,0.677073,0.656397,0.549119,0.588234,0.707847
35,0.475947,0.622469,0.685257,0.648478,0.560232,0.595265,0.721104
36,0.469935,0.621125,0.674908,0.641416,0.559888,0.605727,0.715906
37,0.45954,0.602412,0.684089,0.655941,0.569044,0.612305,0.724131
38,0.467567,0.588827,0.687881,0.65175,0.560163,0.612731,0.718095
39,0.474297,0.57891,0.688011,0.657702,0.570799,0.608341,0.728811
40,0.463612,0.586623,0.694366,0.661266,0.572314,0.624504,0.724364
41,0.464134,0.591103,0.692648,0.651054,0.567724,0.625059,0.723488
42,0.467857,0.589964,0.69543,0.652999,0.567597,0.619176,0.734334
43,0.467116,0.613879,0.688025,0.669237,0.585919,0.616492,0.7332
44,0.454816,0.601304,0.698184,0.662994,0.580359,0.62786,0.730106
45,0.463014,0.574115,0.703132,0.649157,0.577227,0.625946,0.740924
46,0.452066,0.587669,0.688026,0.674029,0.585413,0.613174,0.732651
47,0.443671,0.576638,0.688947,0.670997,0.595582,0.625613,0.735641
48,0.443867,0.576309,0.702659,0.664469,0.572245,0.629123,0.737419
49,0.43607,0.580303,0.693819,0.660626,0.578965,0.620006,0.733725
50,0.439043,0.58401,0.703671,0.676559,0.584052,0.629716,0.73947
